;;T(entropy,4,0.01,0.3);
1;PaviaCentre,(3,:averaged,"o_None","TestOpGeq");(86.87, 90.0, 96.25, 75.0, 88.33, 00:00:11);
2;PaviaCentre,(3,:averaged,"o_None","TestOpGeq");(90.63, 90.0, 98.12, 85.71, 91.67, 00:00:11);
3;PaviaCentre,(3,:averaged,"o_None","TestOpGeq");(85.62, 90.0, 96.88, 78.26, 87.22, 00:00:11);
4;PaviaCentre,(3,:averaged,"o_None","TestOpGeq");(91.25, 90.0, 98.12, 85.71, 92.22, 00:00:11);
5;PaviaCentre,(3,:averaged,"o_None","TestOpGeq");(90.63, 80.0, 97.5, 80.0, 91.67, 00:00:11);
6;PaviaCentre,(3,:averaged,"o_None","TestOpGeq");(86.87, 90.0, 98.12, 85.71, 88.33, 00:00:11);
7;PaviaCentre,(3,:averaged,"o_None","TestOpGeq");(90.0, 95.0, 98.12, 86.36, 91.11, 00:00:11);
8;PaviaCentre,(3,:averaged,"o_None","TestOpGeq");(93.12, 80.0, 98.75, 88.89, 93.89, 00:00:11);
9;PaviaCentre,(3,:averaged,"o_None","TestOpGeq");(87.5, 85.0, 98.75, 89.47, 88.89, 00:00:11);
10;PaviaCentre,(3,:averaged,"o_None","TestOpGeq");(93.75, 100.0, 98.75, 90.91, 94.44, 00:00:11);
1;IndianPines,(1,false,"o_None","TestOpGeq");(69.09, 45.0, 98.64, 75.0, 71.67, 00:00:27);
2;IndianPines,(1,false,"o_None","TestOpGeq");(55.45, 45.0, 95.91, 50.0, 59.17, 00:00:23);
3;IndianPines,(1,false,"o_None","TestOpGeq");(66.82, 75.0, 98.64, 83.33, 69.58, 00:00:22);
4;IndianPines,(1,false,"o_None","TestOpGeq");(58.64, 65.0, 96.36, 61.9, 62.08, 00:00:22);
5;IndianPines,(1,false,"o_None","TestOpGeq");(65.45, 70.0, 97.73, 73.68, 68.33, 00:00:22);
6;IndianPines,(1,false,"o_None","TestOpGeq");(58.18, 50.0, 96.82, 58.82, 61.67, 00:00:24);
7;IndianPines,(1,false,"o_None","TestOpGeq");(63.64, 40.0, 97.27, 57.14, 66.67, 00:00:23);
8;IndianPines,(1,false,"o_None","TestOpGeq");(58.18, 70.0, 98.64, 82.35, 61.67, 00:00:26);
9;IndianPines,(1,false,"o_None","TestOpGeq");(68.64, 65.0, 99.09, 86.67, 71.25, 00:00:27);
10;IndianPines,(1,false,"o_None","TestOpGeq");(60.0, 60.0, 98.64, 80.0, 63.33, 00:00:24);
1;IndianPines,(3,:flattened,"o_None","TestOpGeq");(51.82, 75.0, 97.73, 75.0, 55.83, 00:03:56);
2;IndianPines,(3,:flattened,"o_None","TestOpGeq");(54.09, 55.0, 98.64, 78.57, 57.92, 00:03:05);
3;IndianPines,(3,:flattened,"o_None","TestOpGeq");(63.64, 75.0, 96.82, 68.18, 66.67, 00:03:57);
4;IndianPines,(3,:flattened,"o_None","TestOpGeq");(60.45, 55.0, 98.18, 73.33, 63.75, 00:03:00);
5;IndianPines,(3,:flattened,"o_None","TestOpGeq");(55.45, 60.0, 98.64, 80.0, 59.17, 00:03:04);
6;IndianPines,(3,:flattened,"o_None","TestOpGeq");(54.55, 60.0, 96.36, 60.0, 58.33, 00:03:46);
7;IndianPines,(3,:flattened,"o_None","TestOpGeq");(57.27, 85.0, 96.36, 68.0, 60.83, 00:03:37);
